node_id,neighbor_id,rssi,snr,packet_loss_rate,battery_voltage_mv,battery_pct,hop_count,is_gps,is_emergency,queue_len,distance_m,true_distance_m,last_seen_sec,uptime_min,canopy_density,wire_hex,delivery_probability,route_success
11,16,-82,15.0,51,3689,43,2,1,0,41,921,913.1,15,3446,light,0B001000AE3C33762B122999030F00760DEC,0.154,0
1,15,-123,-5.2,75,4134,97,1,1,0,6,1258,1246.4,24,3575,medium,01000F0085EB4BA3611106EA041800F70D5E,0.3923,1
13,12,-101,15.0,44,3675,41,1,1,0,9,332,327.7,250,1493,medium,0D000C009B3C2C752911094C01FA00D50518,0.5103,1
7,9,-128,-12.9,73,3984,88,3,1,0,1,639,628.7,24,567,dense,0700090080CC49945813017F0218003702E3,0.01,0
1,5,-80,15.0,7,3630,22,2,1,0,3,874,868.0,9,6132,light,01000500B03C07711612036A030900F4178A,0.7763,0
6,5,-95,15.0,35,3688,43,4,1,0,11,1407,1391.7,19,2475,light,06000500A13C23762B140B7F051300AB09A4,0.43,0
4,14,-128,-12.37,74,3669,33,1,1,0,5,3584,3587.4,14,2972,dense,04000E0080CF4A74211105000E0E009C0BD3,0.01,0
5,8,-106,13.46,50,3870,82,4,1,0,7,636,641.2,168,6810,medium,05000800963632895214077C02A8009A1AF7,0.4383,1
15,4,-117,-2.02,64,3787,70,2,1,0,7,1299,1312.0,26,4888,medium,0F0004008BF8408046120713051A00181380,0.4329,1
1,10,-97,15.0,46,3819,76,3,1,0,10,3526,3510.0,15,3317,light,01000A009F3C2E834C130AC60D0F00F50CFD,0.4337,1
12,8,-117,-0.81,57,3833,79,1,1,0,4,2510,2500.3,4,4394,medium,0C0008008BFD39854F1104CE0904002A11F3,0.5431,0
7,4,-114,3.51,53,3976,89,2,1,0,3,459,455.7,12,4380,medium,070004008E0E3593591203CB010C001C1190,0.5526,1
2,10,-128,-12.65,100,3957,88,1,1,0,33,907,895.0,1056,2073,dense,02000A0080CD64915811218B03200419086F,0.01,0
3,8,-97,15.0,36,3745,61,3,0,0,1,429,433.6,4,5071,medium,030008009F3C247C3D0301AD010400CF1374,0.6435,1
15,16,-128,-8.75,93,3766,68,2,1,0,11,479,496.9,25,5415,dense,0F00100080DD5D7E44120BDF01190027152B,0.01,0
3,4,-109,7.85,68,3776,68,1,0,0,11,882,735.3,150,5125,medium,03000400931F447F44010B72039600051402,0.3827,0
7,8,-70,15.0,26,3646,27,1,1,0,34,190,195.6,27,5646,light,07000800BA3C1A721B1122BE001B000E16F9,0.2439,0
9,10,-128,-9.89,82,4064,95,2,1,0,0,1919,1911.2,22,2212,medium,09000A0080D8529C5F12007F071600A408D5,0.01,0
6,9,-104,13.53,37,3731,54,1,1,0,1,391,397.2,14,7031,medium,060009009836257B36110187010E00771B70,0.7137,1
16,5,-117,-2.19,64,3727,56,1,0,0,1,1519,1291.3,13,4449,medium,100005008BF7407A380101EF050D00611153,0.5634,1
12,10,-128,-9.99,84,3773,64,2,0,0,7,4751,3610.4,419,4992,medium,0C000A0080D8547F4002078F12A30180131E,0.01,0
10,9,-124,-6.72,85,3683,49,1,0,0,10,6249,3107.1,180,3408,medium,0A00090084E5557631010A6918B400500D8A,0.1785,0
8,9,-123,-6.0,72,3807,77,3,0,0,4,863,993.0,1693,4164,medium,0800090085E848824D03045F039D06441051,0.3521,1
10,15,-128,-14.44,86,3751,61,2,0,0,8,178,400.4,264,5718,dense,0A000F0080C6567D3D0208B2000801561654,0.01,0
14,1,-107,8.36,55,3786,72,5,0,0,10,449,339.0,16,4839,medium,0E0001009521378048050AC1011000E71291,0.3541,1
15,2,-84,15.0,23,3787,73,2,0,0,7,123,142.2,9,5328,medium,0F000200AC3C17804902077B000900D01433,0.6072,1
13,6,-119,-1.57,67,3831,79,2,0,0,10,179,160.9,2078,6233,dense,0D00060089FA43854F020AB3001E08591809,0.3787,0
15,3,-111,4.8,53,3568,14,1,1,0,2,150,137.1,14,4997,dense,0F0003009113356A0E110296000E008513B6,0.6041,0
8,9,-100,15.0,85,3765,66,1,0,0,44,7850,4041.7,22,2835,light,080009009C3C557E42012CAA1E1600130B78,0.1148,0
14,12,-128,-9.77,82,3644,32,2,1,0,9,454,438.8,390,5397,dense,0E000C0080D95272201209C601860115159C,0.01,1
2,16,-109,7.0,53,3789,67,3,1,0,5,644,649.1,159,6292,medium,02001000931C358043130584029F0094182B,0.4866,0
4,16,-75,15.0,33,3737,56,1,1,0,33,271,244.5,14,4423,light,04001000B53C217B3811210F010E004711BE,0.24,0
9,15,-128,-9.62,90,4162,98,1,1,0,12,855,853.4,3390,7051,dense,09000F0080DA5AA662110C57033E0D8B1BA9,0.01,0
13,15,-125,-5.66,83,3731,55,2,1,0,10,1334,1336.3,2916,892,medium,0D000F0083E9537B37120A3605640B7C0357,0.1898,0
11,16,-97,15.0,29,3786,75,2,1,0,1,385,363.4,2,1928,medium,0B0010009F3C1D804B1201810102008807E5,0.7178,1
15,6,-105,10.25,52,3808,73,2,1,0,6,329,320.7,27,2296,medium,0F0006009729348249120649011B00F808F6,0.5019,1
15,8,-128,-10.16,69,3495,12,2,1,0,5,3814,3798.2,801,6756,dense,0F00080080D745630C1205E60E2103641A5D,0.01,0
1,2,-105,15.0,36,3677,38,1,1,0,3,4108,4109.7,150,6465,light,01000200973C24752611030C1096004119CE,0.6706,1
5,3,-128,-11.08,84,3712,50,1,1,0,12,1387,1380.3,11,1043,dense,0500030080D4547932110C6B050B001304EB,0.01,0
3,9,-108,6.78,63,3784,75,1,0,0,11,323,469.2,28,260,medium,03000900941B3F804B010B43011C00040145,0.4021,0
13,7,-121,-4.58,69,3738,58,1,1,0,1,804,803.7,1861,4351,medium,0D00070087EE457B3A110124034507FF102C,0.5167,1
14,2,-100,15.0,36,4098,94,2,1,0,6,2873,2855.7,242,3271,light,0E0002009C3C249F5E1206390BF200C70C24,0.5719,1
14,6,-101,15.0,27,3734,52,1,1,0,1,211,235.7,24,4809,medium,0E0006009B3C1B7B341101D3001800C9129B,0.7687,1
4,8,-110,7.37,63,4078,94,2,1,0,9,1616,1604.3,4,3955,medium,04000800921D3F9D5E120950060400730F2A,0.4085,1
12,2,-125,-8.84,81,4061,93,5,1,0,9,4048,4048.6,2795,6799,medium,0C00020083DD519C5D1509D00FEB0A8F1A39,0.0275,0
9,13,-128,-10.78,72,3777,63,1,1,0,1,2664,2677.9,46,1767,dense,09000D0080D5487F3F1101680A2E00E70660,0.01,0
6,7,-101,14.11,41,3862,81,3,1,0,12,361,355.7,22,3478,medium,060007009B38298851130C69011600960D45,0.4211,0
9,4,-92,15.0,29,3765,67,2,1,0,10,1777,1776.9,8,1679,light,09000400A43C1D7E43120AF10608008F06C6,0.5239,1
5,14,-109,6.97,57,3506,13,1,1,0,11,839,842.1,18,6083,medium,05000E00931C39640D110B47031200C31762,0.4253,1
3,15,-121,-2.98,61,3879,83,1,1,0,5,1175,1146.6,266,726,medium,03000F0087F43D8953110597040A01D6025C,0.5021,1
14,10,-83,15.0,9,3971,88,1,1,0,1,382,379.2,292,2867,light,0E000A00AD3C09935811017E012401330BDA,0.8678,0
5,4,-107,6.35,84,3603,23,3,1,0,46,536,545.9,3090,4629,medium,050004009519546E17132E1802120C151279,0.104,0
11,15,-124,-5.14,85,3794,76,2,1,0,9,2342,2331.9,17,313,medium,0B000F0084EB55814C1209260911003901BE,0.292,0
3,12,-128,-15.27,91,3800,77,2,1,0,12,3562,3567.5,2,2638,dense,03000C0080C35B824D120CEA0D02004E0AB5,0.01,0
2,9,-112,6.74,57,3716,44,2,1,0,3,191,168.7,15,2986,dense,02000900901B39792C1203BF000F00AA0B89,0.5332,1
14,13,-102,15.0,79,3896,84,1,1,0,39,360,366.1,24,5441,medium,0E000D009A3C4F8B5411276801180041152F,0.1276,0
13,3,-121,-3.0,74,3638,31,3,1,0,10,183,193.9,24,3473,dense,0D00030087F44A711F130AB7001800910DAB,0.3307,1
10,3,-127,-11.19,77,3768,63,5,0,0,4,1755,2431.2,4,6055,medium,0A00030081D34D7E3F0504DB060400A7172B,0.01,0
11,16,-101,14.22,38,3749,62,3,0,0,12,4093,3205.9,24,5545,light,0B0010009B39267C3E030CFD0F1800A915FF,0.4312,0
10,14,-110,5.67,36,3773,68,3,1,0,3,1028,1033.9,256,6379,medium,0A000E009217247F44130304040001EB18E3,0.6,1
6,15,-114,5.69,52,3735,57,2,1,0,1,678,693.1,17,1318,medium,06000F008E17347B391201A6021100260533,0.5979,0
5,15,-128,-9.92,97,3655,34,1,1,0,18,587,574.4,1882,3076,dense,05000F0080D861732211124B025A07040C69,0.01,0
4,15,-96,15.0,30,3614,19,4,0,1,2,610,668.5,16,654,medium,04000F00A03C1E6F132402620210008E0270,0.6117,1
5,10,-128,-11.88,100,4003,89,1,1,0,30,3690,3691.9,26,4099,medium,05000A0080D0649659111E6A0E1A000310D4,0.01,0
8,13,-114,3.12,55,3772,65,1,1,0,1,1105,1110.9,12,6447,medium,08000D008E0C377F41110151040C002F19FB,0.6146,1
13,15,-114,2.88,62,3739,66,1,1,0,5,788,791.2,22,6203,medium,0D000F008E0C3E7B421105140316003B1833,0.5008,1
11,15,-125,-7.51,70,4186,99,2,1,0,2,407,387.5,25,363,dense,0B000F0083E246A8631202970119006B01F3,0.1755,0
11,16,-101,14.16,37,3804,76,1,1,0,4,241,251.8,25,1024,medium,0B0010009B3925824C1104F100190000041F,0.6425,1
13,12,-128,-13.06,88,3626,24,2,1,0,12,1901,1906.9,26,3532,dense,0D000C0080CC587018120C6D071A00CC0DAC,0.01,0
10,6,-111,6.32,57,3671,34,2,1,0,7,695,709.1,2819,2254,medium,0A00060091193975221207B702030BCE080A,0.4635,0
2,3,-115,2.07,100,3967,88,1,1,0,43,969,965.5,3,2971,medium,020003008D08649258112BC90303009B0B5B,0.0937,0
5,12,-98,15.0,31,3763,58,1,1,0,5,363,352.1,89,4093,medium,05000C009E3C1F7E3A11056B015900FD0FEC,0.6492,0
4,6,-128,-14.38,71,3693,40,2,1,0,3,3108,3123.4,28,5848,medium,0400060080C64777281203240C1C00D816F5,0.01,0
11,12,-73,15.0,0,4096,95,3,1,0,11,212,210.3,26,1651,light,0B000C00B73C009F5F130BD4001A00730675,0.5784,1
16,1,-111,4.28,50,4208,99,1,1,0,1,697,694.5,23,3359,medium,10000100911132AA631101B90217001F0DF1,0.6421,1
11,12,-107,11.6,61,3755,60,3,1,0,9,880,878.5,252,458,medium,0B000C00952E3D7D3C13097003FC00CA016E,0.3933,0
10,3,-128,-10.77,73,3725,53,2,1,0,1,1781,1768.6,21,5038,dense,0A00030080D5497A351201F5061500AE1328,0.01,0
6,11,-99,15.0,37,3946,87,2,1,0,9,2984,2973.8,28,5259,light,06000B009D3C2590571209A80B1C008B14DA,0.511,1
7,14,-116,3.0,57,3556,16,2,1,0,4,1740,1720.6,26,5646,medium,07000E008C0C3969101204CC061A000E1681,0.5148,1
16,8,-95,15.0,23,3676,44,2,1,0,6,255,245.3,12,1985,medium,10000800A13C17752C1206FF000C00C107CD,0.6289,1
8,3,-112,2.65,49,3867,82,1,0,0,2,226,372.5,191,4086,medium,08000300900B3188520102E200BF00F60FDA,0.6253,1
10,8,-111,7.08,47,4155,98,1,1,0,0,128,138.0,20,6945,dense,0A000800911C2FA562110080001400211B5F,0.6821,1
9,13,-118,-0.96,62,3062,2,2,1,0,4,1557,1564.2,17,6765,medium,09000D008AFC3E38021204150611006D1AD9,0.0982,0
4,3,-116,4.72,51,3807,70,4,1,0,3,2880,2894.5,13,1127,medium,040003008C133382461403400B0D0067041F,0.4999,0
15,3,-86,15.0,17,3682,40,1,0,0,11,463,210.5,203,4365,medium,0F000300AA3C117628010BCF01CB000D113C,0.5805,1
16,14,-70,15.0,0,3660,33,1,1,0,11,88,96.7,1388,6418,medium,10000E00BA3C007421110B58006C051219AC,0.6464,1
8,13,-110,6.15,50,3945,87,3,1,0,10,812,804.4,19,2574,medium,08000D009219329057130A2C0313000E0A2E,0.4193,1
7,8,-80,15.0,10,4071,93,2,1,0,8,167,148.1,11,1423,medium,07000800B03C0A9D5D1208A7000B008F05AB,0.6394,1
12,11,-127,-9.87,76,3918,86,2,1,0,3,1799,1815.0,146,5779,medium,0C000B0081D94C8D561203070792009316CB,0.01,0
11,8,-128,-13.37,70,3757,67,1,0,0,6,612,435.7,207,2384,dense,0B00080080CB467D4301066402CF00500980,0.01,0
3,7,-116,-2.81,65,3744,64,3,1,0,8,2427,2428.2,86,1965,medium,030007008CF5417C4013087B095600AD07C9,0.3896,0
8,12,-88,15.0,78,3675,35,2,0,0,50,2683,1017.5,2975,7200,light,08000C00A83C4E752302327B0A9F0B201CF1,0.1181,0
10,6,-73,15.0,0,3910,84,1,0,0,0,320,273.9,1021,302,light,0A000600B73C008D5401004001FD032E01CF,0.95,1
16,3,-128,-14.61,76,4057,94,1,0,0,1,1388,1715.0,2162,4455,dense,1000030080C64C9B5E01016C0572086711BF,0.01,0
5,15,-74,15.0,13,3793,69,2,1,0,11,99,87.2,24,5529,medium,05000F00B63C0D8145120B630018009915FD,0.5646,1
13,15,-98,15.0,19,3744,59,5,1,0,3,201,205.3,151,2705,medium,0D000F009E3C137C3B1503C9009700910A72,0.5983,0
1,6,-107,12.36,45,3102,3,1,0,0,8,370,680.7,29,2421,medium,0100060095312D3C03010872011D00750903,0.1048,0
5,9,-104,8.4,45,3807,73,2,0,0,8,944,905.2,27,6187,medium,0500090098222D82490208B0031B002B181A,0.4965,0
15,9,-69,15.0,12,3744,57,2,1,0,9,236,237.3,6,5577,light,0F000900BB3C0C7C391209EC000600C91568,0.6095,1
3,16,-128,-11.32,98,3809,78,2,1,0,44,368,344.4,10,29,dense,0300100080D362824E122C70010A001D00E9,0.01,0
2,8,-81,15.0,5,4128,97,1,1,0,0,462,450.9,6,5979,light,02000800AF3C05A2611100CE0106005B17AB,0.9215,1
13,8,-128,-8.63,82,3898,85,2,0,0,10,3255,2016.4,4,1048,dense,0D00080080DD528B55020AB70C04001804C2,0.01,0
1,14,-118,-2.99,64,3821,79,2,1,0,3,941,936.4,1073,5944,medium,01000E008AF440844F1203AD033104381787,0.4957,1
14,10,-128,-12.47,94,3138,5,1,1,0,18,1954,1949.0,2,1784,dense,0E000A0080CE5E3F051112A2070200F806BE,0.01,0
5,10,-103,12.08,41,3835,80,2,1,0,5,4113,4113.2,29,3392,light,05000A009930298550120511101D00400D19,0.5697,1
6,12,-103,15.0,50,3236,7,2,1,0,8,326,329.8,14,1511,medium,06000C00993C324907120846010E00E705E5,0.3352,0
8,5,-102,14.36,48,3742,57,1,1,0,8,2128,2145.9,8,652,light,080005009A39307C391108500808008C021F,0.5112,0
3,10,-94,15.0,25,3667,42,2,0,0,3,2586,1491.4,19,2732,light,03000A00A23C19742A02031A0A1300AC0ACC,0.6887,0
7,16,-116,1.38,65,3972,88,4,1,0,11,431,414.1,30,2323,medium,070010008C06419358140BAF011E00130985,0.332,0
12,5,-108,8.85,45,3734,59,5,0,0,5,276,435.6,12,7083,medium,0C00050094232D7B3B050514010C00AB1BBC,0.4596,1
9,10,-124,-8.04,78,3740,61,1,1,0,3,1888,1900.8,203,4007,medium,09000A0084E04E7C3D11036007CB00A70F0C,0.1376,0
16,8,-124,-11.71,73,3691,44,2,0,0,8,405,240.0,299,613,dense,1000080084D149772C020895012B01650234,0.01,0
1,8,-104,13.96,32,3146,4,1,1,0,0,540,547.3,22,59,medium,01000800983820400411001C0216003B0097,0.1535,0
1,10,-115,1.87,50,3657,36,2,1,0,2,1072,1063.0,4,5082,medium,01000A008D07327324120230040400DA13D9,0.5874,0
9,14,-88,15.0,26,3845,80,5,0,0,10,95,188.6,3,3094,medium,09000E00A83C1A8650050A5F000300160C10,0.4461,1
1,13,-111,6.55,50,3994,90,2,0,0,1,848,664.2,30,7116,medium,01000D00911A32955A020150031E00CC1B46,0.6083,1
9,1,-128,-9.56,71,3686,38,2,1,0,5,2843,2852.6,104,6729,medium,0900010080DA47762612051B0B6800491A3D,0.01,0
6,11,-128,-12.25,69,4085,95,1,0,0,2,191,915.4,71,2838,dense,06000B0080CF459E5F0102BF004700160B91,0.01,0
3,7,-107,7.64,59,4144,98,1,0,0,12,1522,663.4,16,3080,medium,03000700951F3BA462010CF2051000080C20,0.4032,0
13,2,-127,-11.88,87,3610,20,1,1,1,12,2005,2001.1,24,754,medium,0D00020081D0576F14310CD5071800F20252,0.01,0
12,14,-94,15.0,28,3668,34,2,1,0,0,1266,1259.2,18,2662,light,0C000E00A23C1C74221200F2041200660A7A,0.7488,1
14,7,-118,-0.23,72,4171,99,1,1,0,10,1680,1675.8,5,1200,medium,0E0007008AFF48A763110A90060500B00421,0.3801,0
14,5,-81,15.0,0,3636,27,2,1,0,3,549,540.3,328,2726,light,0E000500AF3C00711B120325024801A60AE7,0.8103,1
11,8,-128,-11.48,83,4184,98,1,1,0,11,739,733.3,1932,2392,dense,0B00080080D253A862110BE3028C075809DC,0.01,0
8,6,-128,-11.34,79,3750,60,2,1,0,8,354,351.9,25,5807,dense,0800060080D34F7D3C120862011900AF1620,0.01,0
3,15,-128,-7.74,79,3748,61,1,1,0,2,2097,2102.9,26,4903,dense,03000F0080E14F7C3D110231081A00271304,0.01,0
14,9,-128,-11.68,81,4032,91,2,0,0,1,1372,1413.9,22,367,dense,0E00090080D151995B02015C0516006F01B8,0.01,0
13,14,-128,-8.79,80,3585,21,1,1,0,8,835,827.4,19,3798,dense,0D000E0080DD506C15110843031300D60EBF,0.01,0
5,7,-125,-7.85,75,3735,52,1,1,0,11,1872,1862.3,206,4273,medium,0500070083E14B7B34110B5007CE00B11091,0.0756,0
15,12,-119,-2.26,74,3702,47,1,1,0,10,2023,2038.6,26,1434,medium,0F000C0089F74A782F110AE7071A009A05E1,0.3711,1
14,8,-98,15.0,58,3708,41,1,1,0,27,292,288.3,230,1690,medium,0E0008009E3C3A7829111B2401E6009A065F,0.2407,0
3,11,-128,-12.71,78,3642,30,2,1,0,7,241,235.8,21,3220,dense,03000B0080CD4E721E1207F1001500940C9E,0.01,0
15,10,-96,15.0,33,4116,96,2,1,0,5,218,213.4,10,1163,medium,0F000A00A03C21A1601205DA000A008B0461,0.6059,1
5,11,-89,15.0,26,3919,86,2,1,0,8,998,1010.4,10,3699,light,05000B00A73C1A8D561208E6030A00730EEC,0.5741,0
1,9,-113,0.11,57,3812,77,2,1,0,6,149,166.9,15,257,dense,010009008F0039834D120695000F000101CE,0.4799,1
2,6,-83,15.0,20,3806,80,3,1,0,8,119,123.1,4,3010,medium,02000600AD3C148250130877000400C20B1F,0.5653,0
15,9,-79,15.0,0,3900,84,1,1,0,0,138,128.9,75,966,medium,0F000900B13C008C5411008A004B00C60337,0.95,1
12,15,-116,0.76,51,3621,23,1,1,0,0,848,851.8,18,2656,medium,0C000F008C03337017110050031200600ACA,0.6592,1
9,15,-128,-8.91,79,3747,61,3,0,0,0,4283,2886.2,95,2050,dense,09000F0080DC4F7C3D0300BB105F000208F3,0.01,0
8,14,-128,-10.52,72,3668,41,2,1,0,1,2876,2878.9,29,2284,medium,08000E0080D648742912013C0B1D00EC0801,0.01,0
15,8,-74,15.0,0,3954,87,2,1,0,10,179,172.6,28,1789,light,0F000800B63C009157120AB3001C00FD06B6,0.6342,0
16,5,-89,15.0,27,3756,60,3,0,1,10,237,199.1,81,3769,medium,10000500A73C1B7D3C230AED005100B90E06,0.5019,0
6,9,-128,-10.04,83,4189,99,4,1,0,4,1134,1131.8,30,2056,dense,0600090080D853A86314046E041E000808AE,0.01,0
6,1,-117,0.23,57,3775,65,2,1,0,0,458,471.3,3,5575,medium,060001008B01397F411200CA010300C71522,0.5921,1
11,15,-128,-14.86,100,3801,76,1,1,0,21,1098,1093.5,12,6668,dense,0B000F0080C564824C11154A040C000C1AAC,0.01,0
5,2,-74,15.0,1,3785,74,2,0,0,2,406,248.6,20,828,light,05000200B63C01804A0202960114003C0365,0.8341,1
13,6,-128,-13.83,76,3632,28,1,1,0,9,3363,3381.5,44,1688,medium,0D00060080C94C711C1109230D2C00980665,0.01,0
13,5,-128,-10.81,92,3746,65,1,1,0,10,2916,2936.1,1780,1086,dense,0D00050080D55C7C41110A640BF4063E04BA,0.01,0
14,6,-89,15.0,10,4163,99,1,1,0,0,668,663.3,2,2351,light,0E000600A73C0AA66311009C0202002F0943,0.893,1
14,7,-85,15.0,17,3875,82,1,0,0,8,836,897.8,26,4809,light,0E000700AB3C118952010844031A00C912E1,0.6448,0
3,6,-113,6.24,57,3756,57,1,1,0,7,536,550.1,189,6072,medium,030006008F19397D3911071802BD00B81703,0.4893,1
5,13,-120,-5.88,63,3678,37,3,1,0,5,2327,2346.7,168,6324,medium,05000D0088E83F752513051709A800B41825,0.3799,1
14,5,-82,15.0,8,3876,83,2,1,0,0,123,129.6,19,6340,medium,0E000500AE3C08895312007B001300C4182D,0.8568,1
4,5,-73,15.0,2,3743,55,1,1,0,2,456,446.4,49,5854,light,04000500B73C027C371102C8013100DE1651,0.8751,1
11,4,-108,7.92,47,3626,20,1,1,0,0,501,498.4,489,569,medium,0B00040094202F70141100F501E901390233,0.6821,0
10,6,-92,15.0,18,3773,68,3,1,0,3,228,229.8,283,6005,medium,0A000600A43C127F441303E4001B017517B5,0.6826,0
8,3,-124,-4.23,77,3628,30,3,1,0,5,1849,1845.5,223,856,medium,0800030084EF4D701E13053907DF00580397,0.2989,0
14,8,-128,-9.43,83,3603,28,1,1,0,8,2552,2564.2,2178,700,dense,0E00080080DA536E1C1108F8098208BC0225,0.01,0
13,2,-83,15.0,17,3762,60,1,1,0,12,810,807.4,27,1918,light,0D000200AD3C117E3C110C2A031B007E07A1,0.5605,1
4,3,-124,-9.32,76,3613,22,1,1,0,7,841,846.8,9,5625,medium,0400030084DB4C6F16110749030900F915F9,0.0409,0
2,5,-128,-13.14,87,3191,5,1,1,0,10,3979,3992.8,428,7005,medium,0200050080CB574505110A8B0FAC015D1BC7,0.01,0
8,2,-128,-12.81,73,3587,18,3,1,0,2,409,405.4,13,5286,dense,0800020080CD496C12130299010D00A614BC,0.01,0
3,1,-100,14.49,51,4049,91,1,1,0,12,3400,3415.3,2,4706,light,030001009C3A339A5B110C480D020062125B,0.4332,0
16,1,-121,-6.66,63,4118,95,1,1,0,2,1153,1152.1,20,3380,medium,1000010087E53FA15F110281041400340DBD,0.3944,0
3,6,-66,15.0,7,4002,90,1,0,0,8,57,83.8,13,3975,medium,03000600BE3C07965A010839000D00870F7B,0.6878,1
11,7,-76,15.0,5,3712,56,3,0,0,12,431,399.8,17,1911,light,0B000700B43C057938030CAF01110077075F,0.5417,1
8,5,-128,-15.05,91,3980,89,4,1,0,12,793,797.1,30,2610,dense,0800050080C45B9459140C19031E00320A6B,0.01,0
1,13,-128,-8.92,72,3821,80,1,1,0,7,573,555.8,6,1910,dense,01000D0080DC48845011073D0206007607A2,0.01,0
16,1,-115,0.16,62,3759,70,1,1,0,5,586,575.8,5,4316,medium,100001008D013E7D4611054A020500DC1008,0.5007,0
12,13,-128,-10.66,81,3634,29,1,0,0,6,4005,4066.6,193,4608,medium,0C000D0080D551711D0106A50FC1000012E4,0.01,0
12,4,-125,-6.54,69,3952,88,1,0,0,0,510,272.9,3458,270,dense,0C00040083E64591580100FE01820D0E01DB,0.2581,0
