node_id,battery_voltage_mv,battery_pct,dv_dt_mv_per_hr,temperature_c,rssi_variance,missed_heartbeats,hours_to_failure,health_status
NODE_024,4199,100.0,-10.8,29.7,4.8,0,58.73,0
NODE_008,3769,51.0,-13.17,20.3,4.18,0,29.77,0
NODE_023,3919,68.4,-7.73,35.3,4.45,0,26.84,0
NODE_010,3755,51.3,-11.26,30.2,5.77,0,56.61,0
NODE_003,4127,91.5,-12.09,30.5,2.16,0,61.5,0
NODE_019,3577,28.4,-33.43,38.4,15.08,1,14.04,1
NODE_016,4181,98.0,-7.37,32.9,4.39,0,57.62,0
NODE_021,4129,90.4,-8.54,26.7,2.9,0,32.49,0
NODE_008,3436,20.6,-21.2,36.9,14.51,2,7.93,1
NODE_001,3904,66.3,-9.15,24.4,1.92,0,50.19,0
NODE_009,3983,75.8,-12.71,22.3,2.74,0,30.98,0
NODE_016,3592,32.7,-23.59,35.1,11.1,2,6.98,1
NODE_019,3999,77.7,-10.87,35.9,3.53,0,42.5,0
NODE_010,3784,56.0,-12.69,20.2,3.45,0,28.0,0
NODE_007,3529,26.3,-29.08,43.1,16.36,4,13.82,1
NODE_010,3834,59.0,-14.83,27.6,2.01,2,47.88,0
NODE_023,3343,11.2,-72.25,-7.9,27.11,11,1.16,2
NODE_006,3158,5.0,-62.44,-7.2,32.29,13,1.61,2
NODE_002,4106,90.6,-3.61,19.5,1.87,0,40.47,0
NODE_020,3510,24.8,-30.89,39.4,14.2,3,15.87,1
NODE_010,3786,53.0,-3.48,19.8,4.7,0,32.29,0
NODE_003,3831,58.7,-14.1,18.0,2.98,0,33.73,0
NODE_008,3871,64.1,-4.68,19.3,1.78,0,60.73,0
NODE_019,3737,46.0,-33.52,40.5,17.07,4,13.75,1
NODE_003,4107,89.6,-7.86,32.8,5.57,0,43.31,0
NODE_010,3747,46.3,-31.49,39.9,9.13,1,8.62,1
NODE_011,3447,18.8,-38.82,42.1,20.05,2,3.27,1
NODE_022,3617,35.3,-24.4,36.1,15.27,2,6.62,1
NODE_019,4112,90.7,-3.37,26.5,2.75,0,23.65,0
NODE_006,4047,84.7,-11.54,35.0,4.97,0,42.56,0
NODE_011,3805,55.8,-5.73,33.6,5.04,0,64.95,0
NODE_015,3837,59.4,-10.66,31.6,3.94,0,28.99,0
NODE_018,3879,64.4,-4.43,26.7,0.66,0,61.16,0
NODE_023,3995,77.5,-8.37,19.7,5.96,1,42.92,0
NODE_004,3474,22.6,-19.82,37.5,17.88,2,9.27,1
NODE_016,3993,77.6,-10.4,34.6,3.3,1,64.66,0
NODE_009,3701,43.6,-35.82,43.5,11.74,1,12.44,1
NODE_019,4038,83.0,-4.62,26.0,3.16,0,59.2,0
NODE_013,3893,66.1,-12.74,30.6,3.64,0,59.88,0
NODE_002,3966,73.6,-4.04,24.9,5.94,0,53.21,0
NODE_005,3785,51.9,-8.97,28.6,5.28,1,41.78,0
NODE_017,3082,1.2,-127.03,61.5,21.87,8,0.91,2
NODE_023,3788,54.0,-11.06,30.1,3.43,1,51.85,0
NODE_016,3085,1.6,-133.84,60.8,44.94,15,0.32,2
NODE_004,3632,39.1,-42.29,36.0,12.19,1,7.22,1
NODE_002,3918,68.7,-13.25,27.6,3.61,0,27.18,0
NODE_003,3565,29.5,-26.56,40.0,16.16,1,11.29,1
NODE_015,3778,50.5,-5.34,34.2,4.23,0,41.85,0
NODE_012,3182,5.8,-53.42,53.9,27.55,10,2.15,2
NODE_004,4010,78.6,-8.1,35.9,2.12,2,53.54,0
NODE_009,4138,93.3,-5.66,35.5,5.51,0,62.97,0
NODE_010,3501,24.9,-23.35,36.6,10.66,1,12.82,1
NODE_022,3508,22.1,-42.38,41.5,8.55,3,3.43,1
NODE_012,3488,20.7,-37.03,43.0,10.46,1,10.01,1
NODE_012,4168,95.7,-5.03,22.6,5.04,0,61.55,0
NODE_024,3358,13.9,-97.85,1.0,25.64,14,1.84,2
NODE_013,3404,13.9,-107.08,47.2,33.41,11,0.98,2
NODE_024,3604,35.5,-22.79,45.3,9.52,1,3.33,1
NODE_018,4030,80.5,-7.23,29.4,3.05,0,53.06,0
NODE_004,4197,97.3,-11.35,26.9,1.03,1,25.33,0
NODE_015,4167,97.5,-6.64,27.7,3.73,0,65.81,0
NODE_021,3964,74.5,-10.1,35.1,0.68,0,41.94,0
NODE_008,3112,2.6,-78.29,61.7,28.97,10,0.76,2
NODE_004,3373,14.2,-131.75,-0.3,44.28,4,1.99,2
NODE_008,3338,13.6,-121.53,55.3,34.66,7,0.89,2
NODE_005,3629,35.9,-37.51,45.8,21.83,2,13.38,1
NODE_004,3441,18.8,-44.6,43.5,11.33,1,5.27,1
NODE_002,3944,71.0,-13.64,19.1,2.97,0,50.06,0
NODE_015,4166,97.3,-14.48,32.1,5.27,0,42.73,0
NODE_001,3981,73.9,-10.18,30.3,3.2,1,21.97,0
NODE_003,3808,57.4,-13.49,29.2,3.72,0,38.57,0
NODE_020,3950,72.7,-7.73,19.8,4.36,1,53.15,0
NODE_018,3526,24.5,-32.81,36.7,12.75,2,8.41,1
NODE_004,3878,65.6,-11.94,35.2,4.28,0,22.93,0
NODE_003,3795,54.8,-6.13,32.6,3.56,0,48.33,0
NODE_011,3592,30.3,-21.41,45.3,13.92,4,3.67,1
NODE_010,3531,28.5,-29.4,36.6,17.19,1,4.41,1
NODE_018,4095,88.1,-8.11,32.5,5.15,2,62.2,0
NODE_020,3620,34.7,-28.56,41.9,17.71,1,6.55,1
NODE_010,3221,6.6,-123.67,-0.1,21.74,15,1.62,2
NODE_001,3976,76.5,-10.49,26.2,1.37,0,35.52,0
NODE_019,4134,94.2,-13.13,31.6,0.77,0,41.93,0
NODE_014,3954,72.1,-11.72,31.6,1.13,0,33.3,0
NODE_022,3990,76.3,-11.3,22.0,5.91,0,29.04,0
NODE_007,3683,40.9,-37.18,35.4,14.96,2,4.68,1
NODE_018,3605,33.0,-22.5,43.7,9.01,3,3.55,1
NODE_001,3778,53.9,-11.24,25.7,2.72,0,33.63,0
NODE_013,3898,66.2,-5.38,29.1,5.08,1,22.76,0
NODE_004,4017,79.4,-8.71,25.1,2.21,0,35.99,0
NODE_006,4027,81.7,-8.63,21.5,4.77,0,69.74,0
NODE_021,3548,25.1,-41.05,36.4,16.43,3,11.52,1
NODE_006,3319,11.0,-98.24,55.7,37.03,13,1.64,2
NODE_020,4175,98.5,-11.21,25.9,3.08,0,61.0,0
NODE_019,3984,75.4,-11.28,26.1,0.81,0,22.14,0
NODE_003,3587,33.2,-32.51,40.7,19.09,3,8.85,1
NODE_019,3558,27.6,-32.16,35.8,8.87,1,14.69,1
NODE_011,3128,2.3,-81.85,0.5,44.77,12,1.35,2
NODE_006,4154,95.9,-10.35,31.9,4.23,0,52.07,0
NODE_011,3802,54.7,-6.86,23.1,4.48,0,66.94,0
NODE_005,4016,79.1,-13.3,24.3,5.82,0,39.17,0
NODE_020,3487,20.5,-29.91,41.7,12.6,1,12.14,1
NODE_024,3454,15.6,-131.59,54.6,20.46,8,0.53,2
NODE_007,4092,88.3,-12.7,36.0,1.35,0,60.56,0
NODE_017,3689,43.1,-21.14,34.5,12.71,3,4.7,1
NODE_013,3822,59.0,-6.69,29.2,5.46,0,20.36,0
NODE_012,3509,25.1,-33.01,37.4,18.48,2,9.94,1
NODE_010,3367,13.5,-58.64,0.1,34.26,11,1.21,2
NODE_010,3605,33.1,-33.7,35.9,10.8,2,14.35,1
NODE_002,3716,44.2,-30.03,35.2,19.84,3,6.71,1
NODE_006,4165,95.3,-13.23,25.9,5.71,0,42.36,0
NODE_012,3229,7.6,-104.32,52.8,22.04,7,0.17,2
NODE_004,3666,37.5,-23.63,35.7,12.02,3,12.05,1
NODE_005,3586,32.1,-28.39,44.9,8.27,1,4.94,1
NODE_024,3617,30.7,-24.04,36.9,9.71,1,11.31,1
NODE_020,3806,55.5,-4.14,28.7,0.59,0,31.06,0
NODE_005,3742,50.1,-10.77,28.3,1.53,0,46.27,0
NODE_012,3976,76.3,-8.91,35.8,3.55,0,43.39,0
NODE_021,3922,68.7,-6.03,24.4,0.87,0,53.48,0
NODE_004,3667,40.1,-36.02,34.5,15.64,3,5.28,1
NODE_022,4070,84.8,-7.42,32.6,0.85,0,42.71,0
NODE_010,4110,89.6,-4.37,23.7,2.21,0,62.03,0
NODE_016,4088,87.7,-12.71,24.4,4.79,1,35.92,0
NODE_004,3568,31.1,-34.2,39.3,21.39,1,5.43,1
NODE_023,4150,96.2,-8.77,32.4,4.5,0,50.53,0
NODE_006,3890,66.1,-14.04,29.9,2.19,0,41.01,0
NODE_023,3959,72.4,-6.28,34.4,3.88,0,52.53,0
NODE_002,4039,81.9,-10.64,32.4,4.24,1,25.71,0
NODE_020,3562,31.1,-41.59,36.8,17.03,1,15.34,1
NODE_002,3656,38.4,-19.38,38.5,18.68,2,9.88,1
NODE_013,3879,63.9,-3.47,18.5,1.52,0,67.33,0
NODE_004,3858,63.0,-9.64,35.9,2.07,1,44.52,0
NODE_004,3784,53.7,-12.93,30.8,5.98,0,70.25,0
NODE_011,3663,39.3,-30.15,37.5,12.2,1,12.22,1
NODE_023,3670,41.8,-31.26,35.5,10.81,1,13.27,1
NODE_001,4011,78.6,-9.39,35.7,1.21,1,21.55,0
NODE_013,3355,12.5,-92.69,59.4,21.84,9,1.64,2
NODE_015,3993,75.9,-13.46,32.9,3.53,0,59.46,0
NODE_005,4170,95.5,-14.34,20.2,1.34,0,35.42,0
NODE_023,4162,97.4,-8.77,23.1,0.93,0,69.64,0
NODE_009,3876,65.1,-8.6,27.0,1.43,1,26.33,0
NODE_022,3728,45.1,-35.88,45.1,8.58,3,4.06,1
NODE_021,3537,25.9,-39.31,40.9,16.65,1,14.56,1
NODE_018,4185,97.8,-9.2,32.5,4.27,0,21.94,0
NODE_002,3975,70.8,-9.43,24.1,1.29,1,35.24,0
NODE_012,3134,3.1,-106.65,51.8,31.66,8,1.18,2
NODE_005,3891,64.5,-10.39,29.1,1.87,1,26.62,0
NODE_011,3364,12.5,-122.91,4.0,31.67,8,1.29,2
NODE_003,3276,9.1,-53.0,-3.8,21.26,11,1.53,2
NODE_021,3530,26.6,-44.78,35.3,9.88,1,7.76,1
NODE_013,3937,70.0,-8.16,21.5,3.54,0,45.23,0
NODE_018,4187,99.5,-6.84,20.1,5.86,0,60.92,0
NODE_011,3912,68.3,-13.27,28.8,2.71,0,20.1,0
NODE_023,3958,73.7,-9.52,28.9,3.34,0,51.11,0
NODE_006,4028,80.8,-4.89,28.7,3.29,0,44.45,0
NODE_019,4140,90.8,-10.58,30.1,5.89,0,61.02,0
NODE_024,3273,11.1,-86.28,-0.1,44.3,13,1.49,2
NODE_024,3973,74.0,-8.71,31.0,4.76,0,62.37,0
NODE_008,4160,97.4,-13.68,18.3,2.23,0,55.29,0
NODE_014,4020,80.6,-9.34,33.3,4.5,0,46.01,0
NODE_018,4058,83.1,-8.69,23.6,1.45,1,36.49,0
NODE_012,3711,44.0,-26.62,43.6,11.7,2,15.45,1
NODE_009,3840,61.2,-3.33,23.4,2.09,0,56.07,0
NODE_011,3995,78.0,-3.79,31.0,2.08,0,47.33,0
NODE_013,3746,46.6,-23.28,37.5,12.03,2,7.5,1
NODE_015,3663,40.4,-39.22,43.9,11.8,2,6.53,1
NODE_004,3629,35.6,-38.45,42.0,15.43,2,3.68,1
NODE_014,3963,73.6,-6.83,20.5,5.8,2,26.53,0
NODE_021,3391,15.1,-97.03,3.6,28.03,14,0.24,2
NODE_003,3551,25.0,-25.06,44.2,8.52,4,8.43,1
NODE_006,3099,1.6,-64.74,49.8,38.73,8,2.2,2
NODE_001,4001,80.1,-3.86,24.0,3.0,0,46.31,0
NODE_005,3253,8.5,-122.65,-6.1,31.47,8,1.82,2
NODE_001,3677,41.7,-29.67,43.1,10.46,3,14.66,1
NODE_014,3797,54.3,-6.97,21.3,1.27,0,31.39,0
NODE_009,3943,72.3,-11.8,23.9,3.7,0,32.12,0
NODE_012,3466,19.9,-41.81,37.7,13.68,2,14.64,1
NODE_023,3664,38.7,-27.75,45.3,13.15,1,15.45,1
NODE_016,4095,87.4,-7.73,25.5,3.52,0,47.03,0
NODE_022,3660,40.9,-26.63,41.1,19.02,2,9.87,1
NODE_012,4000,78.2,-14.26,27.9,3.28,0,26.09,0
NODE_011,3230,8.1,-78.77,54.3,42.47,11,2.04,2
NODE_015,3930,70.8,-8.23,28.1,4.2,0,19.18,0
NODE_009,3700,40.4,-29.39,34.5,12.82,1,15.92,1
NODE_003,3259,8.6,-114.16,-6.4,36.04,15,1.65,2
NODE_014,4138,94.6,-9.62,34.5,2.58,0,70.06,0
NODE_018,4146,93.0,-13.58,35.9,2.66,0,70.85,0
NODE_001,3775,47.4,-32.5,42.6,13.94,1,5.99,1
NODE_015,3884,63.8,-3.75,31.1,1.12,0,40.64,0
NODE_001,3765,53.4,-7.87,26.0,4.2,1,31.22,0
NODE_002,3850,61.7,-12.39,33.5,0.81,0,33.62,0
NODE_024,4022,78.9,-5.73,32.7,1.8,1,71.23,0
NODE_017,3878,65.0,-14.27,35.1,5.34,1,51.8,0
NODE_014,3775,52.3,-10.87,29.6,2.6,0,55.6,0
NODE_014,3927,68.8,-5.95,26.5,5.17,0,56.21,0
NODE_015,3266,10.0,-52.9,49.0,26.07,7,0.89,2
NODE_003,3391,14.6,-131.68,49.9,26.71,14,1.55,2
NODE_002,3079,4.0,-71.45,55.4,31.98,9,0.83,2
NODE_001,3825,59.5,-6.1,31.4,4.65,1,55.56,0
NODE_023,4159,95.8,-8.38,32.0,2.59,0,37.4,0
NODE_009,4134,94.1,-9.41,32.5,4.47,0,35.29,0
NODE_007,3952,70.7,-8.25,22.0,1.3,0,68.48,0
NODE_019,3517,26.9,-39.7,36.8,15.98,1,10.16,1
NODE_022,4089,88.2,-9.14,31.0,4.57,0,57.57,0
NODE_012,4075,86.0,-9.14,34.5,3.48,0,21.17,0
NODE_002,3493,20.2,-22.91,34.6,8.09,1,11.2,1
NODE_003,3431,18.3,-31.35,38.5,16.65,2,11.01,1
NODE_016,3472,18.5,-30.63,38.9,8.23,2,9.96,1
NODE_010,4116,90.7,-6.91,32.5,5.5,0,23.2,0
NODE_005,4019,81.0,-11.97,24.4,4.87,0,69.8,0
NODE_015,4200,99.5,-12.29,30.3,5.16,0,64.34,0
NODE_002,3922,69.0,-8.37,19.0,0.55,0,44.99,0
NODE_014,3540,27.9,-18.61,45.7,20.53,4,5.99,1
NODE_023,3253,8.6,-135.81,3.1,42.48,13,1.68,2
NODE_006,3184,6.0,-53.47,58.3,37.82,10,2.33,2
NODE_010,3859,62.0,-4.98,25.0,5.43,0,58.8,0
NODE_005,3666,38.7,-42.88,42.9,12.84,1,6.02,1
NODE_003,4111,88.5,-3.54,25.1,4.75,0,32.76,0
NODE_015,3897,67.8,-3.71,25.8,4.24,0,22.63,0
NODE_020,3882,62.3,-14.12,22.8,2.59,0,26.33,0
NODE_013,3778,55.3,-14.94,23.5,2.48,0,25.16,0
NODE_006,3999,77.8,-8.85,19.9,0.99,0,50.23,0
NODE_011,3089,1.2,-102.76,57.9,33.99,7,1.47,2
NODE_006,3505,23.1,-37.74,37.2,10.04,1,6.59,1
NODE_010,3778,53.8,-11.98,22.4,3.94,0,28.56,0
NODE_004,3750,50.3,-10.25,33.1,2.59,1,41.77,0
NODE_014,3700,43.8,-18.7,35.6,12.49,4,5.61,1
NODE_011,3923,69.9,-11.17,31.2,3.98,1,60.23,0
NODE_011,4125,90.8,-10.28,20.0,3.6,0,47.46,0
NODE_022,3463,18.8,-25.37,45.3,10.94,3,13.81,1
NODE_003,3678,41.9,-33.95,40.0,16.87,1,11.56,1
NODE_023,3928,68.8,-9.61,28.8,3.7,0,67.87,0
NODE_023,3769,51.8,-3.38,30.6,4.97,0,67.38,0
NODE_004,3659,37.7,-35.41,41.8,8.62,4,11.81,1
NODE_013,3210,6.3,-68.34,-6.8,25.55,15,1.35,2
NODE_019,3503,24.6,-34.9,39.6,17.51,2,4.96,1
NODE_001,3877,64.8,-3.95,19.5,5.07,0,36.81,0
NODE_011,3850,60.3,-9.2,26.6,2.91,0,35.22,0
NODE_010,4075,85.5,-14.73,24.2,1.1,0,68.22,0
NODE_024,3828,58.7,-13.08,28.1,5.77,0,39.87,0
NODE_006,4046,82.9,-10.25,31.3,5.36,0,41.2,0
NODE_001,3530,24.2,-24.69,43.7,8.88,1,14.34,1
NODE_006,3832,59.9,-13.63,30.1,3.19,1,34.92,0
NODE_013,3634,35.6,-35.61,44.1,16.64,3,12.18,1
NODE_010,3291,10.4,-79.51,50.6,22.92,9,1.76,2
NODE_017,4016,79.8,-8.1,25.6,3.18,0,67.63,0
NODE_006,3981,74.5,-13.32,23.7,2.98,0,37.39,0
NODE_001,3846,59.8,-10.39,28.1,4.09,0,44.55,0
NODE_023,3608,32.7,-42.77,34.4,18.65,1,6.57,1
NODE_018,4114,89.0,-8.21,31.9,3.22,0,48.93,0
NODE_009,3697,42.7,-35.09,43.9,8.58,2,10.1,1
NODE_014,4130,91.5,-5.98,23.4,6.0,0,36.82,0
NODE_003,4194,99.7,-5.69,22.3,4.96,0,36.93,0
NODE_023,3583,30.8,-28.36,43.4,19.39,3,10.41,1
NODE_018,3991,76.9,-11.12,30.7,2.09,0,64.33,0
NODE_022,3492,22.1,-24.75,38.9,8.83,1,11.53,1
NODE_023,3179,5.0,-75.97,58.4,36.91,11,0.44,2
NODE_021,3928,70.7,-9.58,29.4,5.34,0,45.84,0
NODE_009,3744,44.3,-32.72,39.9,16.15,3,14.01,1
NODE_003,3572,31.8,-27.07,38.3,8.89,2,5.83,1
NODE_014,3580,32.8,-36.28,37.4,15.66,1,14.08,1
NODE_011,3383,13.2,-135.87,59.6,20.41,6,1.16,2
NODE_001,3250,7.8,-50.39,60.2,27.55,8,0.32,2
NODE_012,3923,68.6,-4.15,21.0,2.68,0,55.77,0
NODE_008,3797,54.6,-13.86,21.8,0.93,0,46.05,0
NODE_015,4062,84.8,-5.19,35.8,2.82,0,21.82,0
NODE_013,4103,90.3,-13.76,24.6,2.15,0,61.92,0
NODE_005,3654,38.3,-43.15,40.8,16.54,1,7.57,1
NODE_007,3485,22.5,-33.88,42.2,20.04,1,4.31,1
NODE_004,3932,69.2,-3.44,23.7,1.27,0,22.55,0
NODE_018,3664,39.6,-37.31,45.3,8.38,3,14.39,1
NODE_007,3971,75.5,-6.03,23.3,0.8,1,69.55,0
NODE_016,3855,62.1,-7.34,19.3,5.39,0,37.5,0
NODE_011,4141,93.0,-8.18,24.6,4.26,0,69.54,0
NODE_003,3774,53.4,-11.85,18.7,0.83,0,45.36,0
NODE_021,3667,41.0,-33.56,38.8,16.97,2,4.98,1
NODE_003,3982,75.6,-12.56,32.5,3.45,0,52.25,0
NODE_021,3473,20.0,-26.14,42.8,19.85,1,4.12,1
NODE_014,4020,80.6,-14.34,30.0,4.12,0,18.68,0
NODE_005,3492,22.9,-19.27,40.3,18.96,2,5.17,1
NODE_005,3715,44.2,-25.21,35.4,20.6,1,8.58,1
NODE_017,4056,85.6,-8.08,19.4,3.0,0,44.98,0
NODE_019,3806,57.9,-5.72,34.1,4.21,0,58.0,0
NODE_001,4131,93.1,-12.07,26.5,2.61,0,68.28,0
NODE_002,4159,95.7,-6.11,25.5,2.27,0,56.9,0
NODE_009,3626,35.1,-41.78,42.1,8.74,1,9.71,1
NODE_002,3128,2.1,-98.14,2.1,28.18,12,1.2,2
NODE_012,4012,78.2,-11.35,29.2,3.05,0,44.64,0
NODE_007,3611,34.4,-23.51,35.8,21.05,1,10.04,1
NODE_021,3712,44.3,-19.32,34.0,17.2,3,12.45,1
NODE_004,4182,99.2,-9.96,35.3,5.85,0,33.11,0
NODE_002,3410,15.4,-93.22,52.6,44.36,5,1.49,2
NODE_017,4116,91.0,-14.1,28.2,2.89,1,30.79,0
NODE_009,3428,15.8,-104.63,51.9,31.32,7,0.28,2
NODE_007,4088,88.5,-13.69,19.9,2.97,0,24.52,0
NODE_012,3162,4.3,-112.25,-6.6,23.94,14,0.83,2
NODE_023,3485,19.2,-22.43,37.9,9.28,1,7.62,1
NODE_017,3883,64.9,-5.16,21.1,5.74,1,48.02,0
NODE_018,3961,73.1,-5.35,20.5,0.57,0,71.06,0
NODE_005,3937,70.0,-6.76,34.9,0.96,0,67.54,0
NODE_003,3775,53.2,-4.17,26.0,1.21,1,62.79,0
NODE_011,4176,97.1,-14.39,34.6,2.88,0,44.79,0
NODE_013,3502,23.2,-39.2,36.2,11.92,3,3.45,1
NODE_020,3645,37.4,-31.53,44.6,14.71,1,7.98,1
NODE_014,4140,94.2,-8.69,29.4,4.91,0,71.43,0
NODE_023,3995,77.2,-9.18,34.4,3.26,0,27.71,0
NODE_011,3768,51.5,-5.27,23.1,4.95,0,37.3,0
NODE_019,3469,16.6,-130.99,51.0,40.41,15,0.23,2
NODE_008,4201,99.1,-10.34,34.8,5.95,0,30.77,0
NODE_011,3691,38.9,-20.32,34.3,17.81,4,10.33,1
NODE_019,3373,14.4,-67.06,55.1,24.39,4,0.32,2
NODE_008,3469,18.6,-32.09,38.0,16.6,3,7.43,1
NODE_006,3395,14.5,-110.88,-1.0,42.93,5,2.13,2
NODE_012,3257,7.0,-55.23,48.5,27.54,6,2.44,2
NODE_024,3355,13.7,-53.54,49.6,44.22,15,2.24,2
NODE_020,3504,24.7,-29.1,36.1,12.3,2,4.66,1
NODE_024,4059,85.1,-8.13,33.3,4.74,0,27.83,0
NODE_011,3395,16.5,-120.12,61.1,23.52,15,0.29,2
NODE_012,3126,3.7,-60.32,0.5,35.98,9,1.17,2
NODE_009,4054,84.7,-10.79,32.2,4.46,0,41.66,0
NODE_014,3409,15.2,-95.62,55.2,22.54,11,1.99,2
NODE_019,3661,38.6,-40.61,34.9,19.84,1,7.14,1
NODE_004,3845,58.5,-10.49,31.2,3.51,1,23.03,0
NODE_020,3428,15.3,-76.59,56.8,35.18,10,0.48,2
NODE_004,4182,98.7,-10.09,28.0,5.59,0,53.67,0
NODE_010,3763,52.5,-8.14,33.1,1.34,0,41.09,0
NODE_010,3644,36.8,-32.03,35.2,10.9,2,15.7,1
NODE_016,3522,27.3,-34.27,39.9,17.25,1,10.07,1
NODE_006,3939,69.1,-12.76,18.8,2.92,0,63.2,0
NODE_019,4100,87.6,-6.99,19.5,2.39,0,70.42,0
NODE_019,3772,53.0,-10.35,27.4,5.81,0,68.56,0
NODE_019,3218,8.6,-132.89,57.7,32.55,12,2.02,2
NODE_022,3156,3.4,-54.57,61.2,24.18,7,2.04,2
NODE_005,3784,53.9,-6.8,21.6,5.02,0,50.13,0
NODE_011,3442,15.6,-133.97,53.0,28.15,8,1.35,2
NODE_001,3613,36.7,-30.89,39.0,13.8,1,10.64,1
NODE_004,3273,10.0,-130.91,-1.6,28.6,10,0.73,2
NODE_021,4024,80.4,-14.55,23.0,1.29,0,55.46,0
NODE_002,4146,93.9,-6.71,18.9,3.11,0,38.11,0
NODE_011,3534,27.1,-37.43,39.9,17.75,1,14.3,1
NODE_005,4090,87.2,-5.71,23.8,4.51,0,22.82,0
NODE_015,4110,91.2,-6.11,31.7,5.27,0,45.82,0
